dateCaptured, airTempSensationOne, airHumSensationOne, airTempOne, airHumOne, earthTempOne, earthHumOne, lightOne, airTempSensationTwo, airHumSensationTwo, airTempTwo, airHumTwo, earthTempTwo, earthHumTwo, lightTwo, airTempSensationThree, airHumSensationThree, airTempThree, airHumThree, earthTempThree, earthHumThree, lightThree, airTempSensationFour, airHumSensationFour, airTempFour, airHumFour, earthTempFour, earthHumFour, lightFour, airTempSensationFive, airHumSensationFive, airTempFive, airHumFive, earthTempFive, earthHumFive, lightFive, statusCloud, timeSent
11/9/2020 8:2:22, 18.1215, 18.1215, 18.7, 57.3, 16.625, 22.1524, 18.3333, 20.0088, 20.0088, 20.1, 70.6, 18, 1.21175, 45.8333, 18.192, 18.192, 18.7, 60, 16.9375, 0.999321, 114.167, 19.6534, 19.6534, 20, 61.2, 18.4375, 2.63576, 2.91667, 18.1947, 18.1947, 18.7, 60.1, 17.8125, 0.481468, 8.33333, false, 11/9/2020 8:2:22 
11/9/2020 8:4:32, 18.6794, 18.6794, 19.2, 57.6, 16.6875, 22.1346, 20, 18.9062, 18.9062, 19.1, 70.5, 17.9375, 1.20561, 48.3333, 18.1999, 18.1999, 18.7, 60.3, 17.0625, 0.990433, 123.333, 19.986, 19.986, 20.3, 61.3, 18.4375, 2.64957, 2.91667, 19.5329, 19.5329, 19.9, 60.8, 17.75, 0.475723, 9.16667, false, 11/9/2020 8:4:32 
11/9/2020 8:6:38, 18.4515, 18.4515, 19, 57.3, 16.6875, 22.1252, 21.6667, 18.4531, 18.4531, 18.7, 70, 18, 1.17791, 51.6667, 18.3073, 18.3073, 18.8, 60.2, 17.125, 1.0039, 128.333, 19.8734, 19.8734, 20.2, 61.2, 18.4375, 2.65611, 3.33333, 20.3081, 20.3081, 20.6, 61, 17.8125, 0.481972, 10, false, 11/9/2020 8:6:38 
11/9/2020 8:8:53, 18.6689, 18.6689, 19.2, 57.2, 16.8125, 22.1333, 22.5, 18.7779, 18.7779, 19, 69.8, 17.9375, 1.19339, 56.6667, 18.0794, 18.0794, 18.6, 59.9, 17.125, 0.988853, 134.167, 19.6481, 19.6481, 20, 61, 18.4375, 2.62849, 3.33333, 19.1899, 19.1899, 19.6, 60.3, 17.8125, 0.466927, 9.16667, false, 11/9/2020 8:8:53 
11/9/2020 8:10:59, 18.5563, 18.5563, 19.1, 57.1, 16.75, 22.1319, 23.3333, 18.7701, 18.7701, 19, 69.5, 17.875, 1.18474, 57.5, 18.412, 18.412, 18.9, 60, 17.125, 0.9851, 136.667, 19.8629, 19.8629, 20.2, 60.8, 18.4375, 2.64875, 3.33333, 20.3999, 20.3999, 20.7, 60.3, 17.75, 0.486618, 9.58333, false, 11/9/2020 8:10:59 
11/9/2020 8:13:6, 18.8889, 18.8889, 19.4, 57.2, 16.8125, 22.1589, 25, 20.3205, 20.3205, 20.4, 69.9, 17.9375, 1.20485, 60, 18.082, 18.082, 18.6, 60, 17.125, 0.982224, 145.833, 19.6272, 19.6272, 20, 60.2, 18.4375, 2.62655, 3.33333, 20.4864, 20.4864, 20.8, 59.4, 17.75, 0.487579, 10, false, 11/9/2020 8:13:6 
11/9/2020 8:15:12, 18.8811, 18.8811, 19.4, 56.9, 16.5625, 22.1424, 20, 18.2201, 18.2201, 18.5, 69.5, 17.9375, 1.1688, 58.3333, 18.2916, 18.2916, 18.8, 59.6, 17.1875, 0.98951, 133.333, 19.9599, 19.9599, 20.3, 60.3, 18.4375, 2.64344, 2.91667, 20.4547, 20.4547, 20.7, 62.4, 17.75, 0.472572, 9.58333, false, 11/9/2020 8:15:12 
11/9/2020 8:17:19, 18.9989, 18.9989, 19.5, 57.2, 16.375, 22.1223, 21.6667, 18.9953, 18.9953, 19.2, 69.7, 17.9375, 1.19195, 57.5, 18.5299, 18.5299, 19, 60.3, 17.125, 1.01563, 139.167, 19.8525, 19.8525, 20.2, 60.4, 18.4375, 2.63946, 2.91667, 20.5569, 20.5569, 20.8, 62.1, 17.875, 0.489098, 11.6667, false, 11/9/2020 8:17:19 
11/9/2020 14:25:44, 29.5077, 29.5077, 29.9, 39.4, 18.0625, 156.739, 12260.8, 25.2238, 25.2238, 25, 63.9, 15.8125, 4.01232, 10116.7, 28.4757, 28.4757, 28, 50.3, 15.375, 3.08176, 16160, 25.3359, 25.3359, 26.5, 5, 15.75, 9.77469, 5610.83, 25.4944, 25.4944, 25.5, 53.2, 15.25, 7.20312, 7820.83, false, 11/9/2020 14:25:44 
11/9/2020 15:53:20, 21.099, 21.099, 21.3, 61.8, 17.25, 156.736, 6015.83, 23.6574, 23.6574, 23.5, 67.1, 15.4375, 0.524902, 11850.8, 19.2783, 19.2783, 19.5, 67.9, 17.0625, 21.2263, 6601.67, 20.378, 20.378, 20.4, 72.1, 18.6875, 20.3119, 5924.17, 22.9399, 22.9399, 22.9, 64.9, 17.375, 17.9182, 6763.33, false, 11/9/2020 15:53:20 
